Batch,Embedded data variable,CDF_Threshold,Batch Type
0,pi1,0.25,Warmup
0,pi2,0.5,Warmup
0,pi3,0.75,Warmup
1,pi1,0.313,Iterative Batch Phase: Max
1,pi2,0.367,Iterative Batch Phase: Max
1,pi3,0.889,Iterative Batch Phase: Max
2,pi1,0.378,Iterative Batch Phase: Max
2,pi2,0.398,Iterative Batch Phase: Max
2,pi3,0.91,Iterative Batch Phase: Max
3,pi1,0.569,Iterative Batch Phase: Max
3,pi2,0.58,Iterative Batch Phase: Max
3,pi3,0.95,Iterative Batch Phase: Max
4,pi1,0.314,Iterative Batch Phase: Max
4,pi2,0.358,Iterative Batch Phase: Max
4,pi3,0.877,Iterative Batch Phase: Max
5,pi1,0.31,Iterative Batch Phase: Max
5,pi2,0.429,Iterative Batch Phase: Max
5,pi3,0.753,Iterative Batch Phase: Max
6,pi1,0.214,Iterative Batch Phase: Max
6,pi2,0.453,Iterative Batch Phase: Max
6,pi3,0.696,Iterative Batch Phase: Max
7,pi1,0.237,Iterative Batch Phase: Max
7,pi2,0.696,Iterative Batch Phase: Max
7,pi3,0.873,Iterative Batch Phase: Max
8,pi1,0.215,Iterative Batch Phase: Max
8,pi2,0.795,Iterative Batch Phase: Max
8,pi3,0.96,Iterative Batch Phase: Max
9,pi1,0.185,Iterative Batch Phase: Max
9,pi2,0.896,Iterative Batch Phase: Max
9,pi3,0.968,Iterative Batch Phase: Max
10,pi1,0.358,Iterative Batch Phase: Max
10,pi2,0.846,Iterative Batch Phase: Max
10,pi3,0.956,Iterative Batch Phase: Max
11,pi1,0.459,Iterative Batch Phase: Max
11,pi2,0.911,Iterative Batch Phase: Max
11,pi3,0.971,Iterative Batch Phase: Max
12,pi1,0.446,Iterative Batch Phase: Max
12,pi2,0.892,Iterative Batch Phase: Max
12,pi3,0.973,Iterative Batch Phase: Max
13,pi1,0.563,Iterative Batch Phase: Max
13,pi2,0.902,Iterative Batch Phase: Max
13,pi3,0.982,Iterative Batch Phase: Max
14,pi1,0.714,Iterative Batch Phase: Max
14,pi2,0.921,Iterative Batch Phase: Max
14,pi3,0.987,Iterative Batch Phase: Max
15,pi1,0.521,Iterative Batch Phase: Max
15,pi2,0.895,Iterative Batch Phase: Max
15,pi3,0.979,Iterative Batch Phase: Max
16,pi1,0.574,Iterative Batch Phase: Max
16,pi2,0.91,Iterative Batch Phase: Max
16,pi3,0.98,Iterative Batch Phase: Max
17,pi1,0.67,Iterative Batch Phase: Max
17,pi2,0.908,Iterative Batch Phase: Max
17,pi3,0.978,Iterative Batch Phase: Max
18,pi1,0.757,Iterative Batch Phase: Max
18,pi2,0.908,Iterative Batch Phase: Max
18,pi3,0.969,Iterative Batch Phase: Max
19,pi1,0.691,Iterative Batch Phase: Max
19,pi2,0.876,Iterative Batch Phase: Max
19,pi3,0.958,Iterative Batch Phase: Max
20,pi1,0.595,Iterative Batch Phase: Max
20,pi2,0.85,Iterative Batch Phase: Max
20,pi3,0.94,Iterative Batch Phase: Max
21,pi1,0.633,Iterative Batch Phase: Max
21,pi2,0.838,Iterative Batch Phase: Max
21,pi3,0.921,Iterative Batch Phase: Max
1,pi1,0.11,Iterative Batch Phase: Min
1,pi2,0.639,Iterative Batch Phase: Min
1,pi3,0.709,Iterative Batch Phase: Min
2,pi1,0.172,Iterative Batch Phase: Min
2,pi2,0.49,Iterative Batch Phase: Min
2,pi3,0.543,Iterative Batch Phase: Min
3,pi1,0.232,Iterative Batch Phase: Min
3,pi2,0.514,Iterative Batch Phase: Min
3,pi3,0.606,Iterative Batch Phase: Min
4,pi1,0.461,Iterative Batch Phase: Min
4,pi2,0.751,Iterative Batch Phase: Min
4,pi3,0.813,Iterative Batch Phase: Min
5,pi1,0.359,Iterative Batch Phase: Min
5,pi2,0.732,Iterative Batch Phase: Min
5,pi3,0.809,Iterative Batch Phase: Min
6,pi1,0.384,Iterative Batch Phase: Min
6,pi2,0.625,Iterative Batch Phase: Min
6,pi3,0.76,Iterative Batch Phase: Min
7,pi1,0.541,Iterative Batch Phase: Min
7,pi2,0.669,Iterative Batch Phase: Min
7,pi3,0.755,Iterative Batch Phase: Min
8,pi1,0.41,Iterative Batch Phase: Min
8,pi2,0.522,Iterative Batch Phase: Min
8,pi3,0.604,Iterative Batch Phase: Min
9,pi1,0.26,Iterative Batch Phase: Min
9,pi2,0.317,Iterative Batch Phase: Min
9,pi3,0.379,Iterative Batch Phase: Min
10,pi1,0.18,Iterative Batch Phase: Min
10,pi2,0.224,Iterative Batch Phase: Min
10,pi3,0.271,Iterative Batch Phase: Min
11,pi1,0.172,Iterative Batch Phase: Min
11,pi2,0.195,Iterative Batch Phase: Min
11,pi3,0.289,Iterative Batch Phase: Min
12,pi1,0.328,Iterative Batch Phase: Min
12,pi2,0.388,Iterative Batch Phase: Min
12,pi3,0.463,Iterative Batch Phase: Min
13,pi1,0.284,Iterative Batch Phase: Min
13,pi2,0.353,Iterative Batch Phase: Min
13,pi3,0.46,Iterative Batch Phase: Min
14,pi1,0.385,Iterative Batch Phase: Min
14,pi2,0.437,Iterative Batch Phase: Min
14,pi3,0.519,Iterative Batch Phase: Min
15,pi1,0.318,Iterative Batch Phase: Min
15,pi2,0.359,Iterative Batch Phase: Min
15,pi3,0.454,Iterative Batch Phase: Min
16,pi1,0.254,Iterative Batch Phase: Min
16,pi2,0.288,Iterative Batch Phase: Min
16,pi3,0.368,Iterative Batch Phase: Min
17,pi1,0.393,Iterative Batch Phase: Min
17,pi2,0.46,Iterative Batch Phase: Min
17,pi3,0.55,Iterative Batch Phase: Min
18,pi1,0.407,Iterative Batch Phase: Min
18,pi2,0.46,Iterative Batch Phase: Min
18,pi3,0.639,Iterative Batch Phase: Min
19,pi1,0.469,Iterative Batch Phase: Min
19,pi2,0.527,Iterative Batch Phase: Min
19,pi3,0.648,Iterative Batch Phase: Min
20,pi1,0.59,Iterative Batch Phase: Min
20,pi2,0.661,Iterative Batch Phase: Min
20,pi3,0.704,Iterative Batch Phase: Min
21,pi1,0.572,Iterative Batch Phase: Min
21,pi2,0.648,Iterative Batch Phase: Min
21,pi3,0.701,Iterative Batch Phase: Min
